audit_id,system_short,system_id,lang,id,question,question_en,reference_answer,answer_en,model_answer,mprometheus_label,mprometheus_feedback,wikititle,retrieved_titles,context_snippet,manual_label,manual_confidence,manual_notes
A001,embedding_qwen3_30b_top10,embedding_rag_qwen3_30b_a3b_e5_full_dev_retrieval_top10,cs,42,Kdo byl režisérem filmu Cesta do hlubin študákovy duše?,Who was the director of the movie Journey to the depths of a student's soul?,Martin Frič.,Martin Frič.,Režisérem filmu *Cesta do hlubin študákovy duše* byl Martin Frič.,CORRECT,"The model answer correctly identifies Martin Frič as the director of the film ""Cesta do hlubin študákovy duše."" It includes the title of the film with proper formatting and provides the correct information without any contradictions or additional irrelevant details. The answer is concise and directly addresses the question asked, which was to identify the director of the specified film. Therefore, based on the scoring rubric criteria, the model answer meets all the requirements for being marked as correct.",Cesta_do_hlubin_študákovy_duše,1:Cesta do hlubin študákovy duše (0.869) | 2:Školní výlet (0.837) | 3:Pražský student (0.829) | 4:Studentský Oscar (0.825) | 5:Cesta do hlubin kočičí duše (0.823),"Cesta do hlubin študákovy duše: # Cesta do hlubin študákovy duše Cesta do hlubin študákovy duše je česká filmová komedie. V roce 1939 ji natočil režisér Martin Frič podle stejnojmenné knižní předlohy Jaroslava Žáka. Film ukazuje komické příhody vyplývající z různosti studentů (Ladislav Pešek, Rudolf Hrušínský, František Filipovský, Richard Strejka, Vladimír Salač), jejich zájmů… || Školní výlet: # Školní výlet Školní výlet je český film režiséra Petra Šíchy z roku 2012, který pojednává o partě spolužáků, kteří jsou pozváni na pobyt do lázní. Při tomto pobytu však zažívají mnoho peripetií, vtipných situací i osobních dramat. Souběžně s tím se odehrává příběh mladého zlodějíčka (hraje ho Jan…",correct,high,
A002,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,uk,254,"Із якою подією зв'язано термін ""Зелені чоловічки""?",What event is the term ‘Little Green Men’ associated with?,Анексією Криму у 2014 році,The annexation of Crimea in 2014,"Термін ""Зелені чоловічки"" зв'язаний із російським вторгненням в Україну у 2014 році.",CORRECT,"The model answer provides the correct historical event that the term ""Green Men"" is associated with - the Russian invasion of Ukraine in 2014. It includes the key elements of the reference answer: the year (2014) and the event (Russian invasion). The additional phrase ""вторгнення"" (invasion) is a synonym for ""анексія"" (annexation), which is acceptable as per the scoring rubric's allowance for equivalent wording. The model answer does not contain any contradictions or irrelevant information, and it directly addresses the question asked about the connection between the term and a specific event. Therefore, based on these criteria, the model answer is semantically correct.",Зелені_чоловічки,1:Зелені чоловічки (0.044),"Зелені чоловічки: «Зеле́ні чолові́чки», у російському медіапросторі переважно «ввічливі люди» (рос. вежливые люди) — інтернет-мем, кліше російської пропаганди для позначення окупаційних військ, які висадилися в Криму без розпізнавальних знаків та жартівливо-іронічна назва російських військових без відзнак на одязі та техніці, які у складі спецпідрозділів проводили…",correct,high,
A003,embedding_llama31_8b_top10,embedding_rag_llama31_8b_e5_full_dev_retrieval_top10,uk,357,Чи писав Саксаганський Панас Карпович літературні твори?,Did Saksagansky Panas Karpovich write literary works?,"Так. Він був автором комедій «Лицеміри» (1908) та «Шантрапа» (1914), спогадів «По шляху життя» (1935) і ряду статей з акторської майстерності.","Yes. He was the author of the comedies ""Hypocrites"" (1908) and ""Shantrap"" (1914), the memoirs ""On the Path of Life"" (1935), and a number of articles on acting.","Чи писав Саксаганський Панас Карпович літературні твори? Так, він був автором комедій: «Лицеміри» (1908) та «Шантрапа» (1914), а також спогадів «По шлях",CORRECT,"The model answer provides the same key information as the reference answer, including the author's name, the titles of his works, and their publication years. It correctly identifies that Saksagansky wrote literary works, specifically mentioning comedies and memoirs. The answer includes the exact titles ""Лицеміри"" and ""Шантрапа"" with their respective publication dates, which matches the reference perfectly. The answer also maintains the logical flow of the question-answer format, starting with the question and then providing the affirmative answer followed by specific details about the author's works. There are no contradictions or omissions, and the additional context about memoirs doesn't…",Саксаганський_Панас_Карпович,1:Саксаганський Панас Карпович (0.843) | 2:Саксаганський Панас Карпович (0.838) | 3:Панас Саксаганський (монета) (0.825) | 4:Саксаганський Панас Карпович (0.818) | 5:Мушкетик Юрій Михайлович (0.817),"Саксаганський Панас Карпович: артистів». Впродовж 1910–1915 рр. гастролював у турах Т. Колесниченка та ін. З 1912 до 1940 року Саксаганський проживав у Києві в будинку на вулиці Жилянській, 96. У 1915–1916 роках працював у Товаристві українських акторів під орудою Івана Мар'яненка, з 1916 р. — у Товаристві Українських Акторів. 1918 року очолював Державний народний театр, який… || Саксаганський Панас Карпович: # Саксаганський Панас Карпович Пана́с Ка́рпович Саксага́нський (справжнє прізвище — Тобілевич; 15 (27) травня 1859, Кам'яно-Костувате на Херсонщині, тепер Миколаївська область — 17 вересня 1940, Київ) — визначний український актор, режисер, драматург і педагог школи Марка Кропивницьког…",correct,medium,"Main yes/no answer is correct and examples are correct, but the last one is truncated. output appears truncated by token limit (64)."
A004,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,sk,477,Ktorý slovenský kraj ako jediný susedí s tromi krajinami?,Which Slovak region is the only one bordering three countries?,"Trnavský kraj ako jediný hraničí s tromi krajinami - Českom, Rakúskom a Mad'arskom.","The Trnava Region is the only one bordering three countries - the Czech Republic, Austria and Hungary.",Trnavský kraj.,INCORRECT,"The model's answer is correct in identifying Trnavský kraj as the only Slovak region bordering three countries. However, it lacks the additional information about which specific countries it borders with - Českom, Rakúskom, and Mad'arskom. While the model's answer is factually accurate regarding the region itself, it doesn't provide the full scope of the question asked, which includes the names of the neighboring countries. This omission makes the answer incomplete according to the scoring rubric, which requires the answer to contain all required facts. So the overall score is:",Trnavský_kraj,1:Trnavský kraj (0.161) | 2:Trnavský kraj (0.095) | 3:Trnavský kraj (0.081) | 4:Trnavský kraj (0.036),"Trnavský kraj: Trnavský kraj je kraj na západe Slovenska. Na západe susedí s Bratislavským krajom, na východe s Trenčianskym a Nitrianskym krajom, na severe s Českom (Juhomoravský kraj), Rakúskom (Dolné Rakúsko) a na juhu s Maďarskom (Rábsko-mošonsko-šopronská župa). Ako jediný kraj na Slovensku susedí s 3 štátmi. Má rozlohu 4 146,29 km² a k 31. 12. 2025 tu žilo… || Trnavský kraj: pre priemysel dodáva Jadrová elektráreň v Jaslovských Bohuniciach v okresoch Trnava, Hlohovec a Piešťany a vodná elektráreň v Gabčíkove, ktoré majú celoslovenský význam. V priemysle dominuje výroba osobných automobilov a elektrotechnická výroba, zastúpená najväčšmi závodmi Groupe PSA Slovakia (Peugeot-Citroen) a S…",correct,medium,"Main answer is correct, missing some reference details but not necessary for the question."
A005,embedding_qwen3_30b_top10,embedding_rag_qwen3_30b_a3b_e5_full_dev_retrieval_top10,sk,154,Ako sa volá najvyšší vrch Belianskych Tatier?,What is the name of the highest peak of the Beliany Tatras?,Havran,Havran,Najvyšší vrch Belianskych Tatier sa volá Havran.,CORRECT,"The model answer correctly identifies ""Havran"" as the name of the highest peak in the Belianske Tatry mountains, which aligns with the reference answer. The model's response includes the necessary information without any contradictions or additional irrelevant details that would make it incorrect. It maintains the semantic accuracy of the original question and provides the exact factual answer requested. Therefore, based on the scoring rubric criteria, the model answer meets all the requirements for correctness.",Havran_(vrch_v_Tatrách),1:Belianske Tatry (0.881) | 2:Bujačí vrch (Belianske Tatry) (0.867) | 3:Belianske Tatry (0.864) | 4:Havran (vrch v Tatrách) (0.863) | 5:Belianska kopa (0.862),"Belianske Tatry: # Belianske Tatry Belianske Tatry, v minulosti Belanské Tatry, Belanské Alpy, Belské Alpy, Belanské Vápencové Alpy, Ždiarske Tatry, Belské hole (poľ. Tatry Bielskie, nem. Kalkalpen, Bélaer Kalkalpen, Béler Tatra, maď. Bélai-havasok, Bélai Mészhavasok, Bélai Mészhegység, Bélai-Tátra) sú horské pásmo Východných Tatier na severozápade východného Slov… || Bujačí vrch (Belianske Tatry): # Bujačí vrch (Belianske Tatry) Bujačí vrch (1 946,9 m n. m.) je vrch Belianskych Tatier. Leží nad obcou Ždiar, približne 15 km severozápadne od Kežmarku. Nie je turisticky prístupný. ## Poloha Nachádza sa vo východnej časti pohoria, v geomorfologickom podcelku Východné Tatry a časti Belianske Ta…",correct,high,
A006,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,cs,151,"Který internetový slovník, založení Martinem Kavkou, shromažďuje nové české výrazy a novotvary?","What online dictionary, founded by Martin Kavka, collects new Czech expressions and new words?",Čeština 2.0.,Čeština 2.0.,Čeština 2.0,CORRECT,"The model's answer is completely correct as it identifies ""Čeština 2.0"" as the internet dictionary founded by Martin Kavka that collects new Czech expressions and neologisms. The answer directly addresses all elements of the question without any contradictions or omissions. It provides the exact name of the dictionary, acknowledges its founder, and specifies its purpose, which aligns perfectly with the information sought in the question. There is no need to penalize the answer for including the dictionary's name alone, as it fully satisfies the requirements of the question. So the overall score is:",Martin_Kavka,1:Martin Kavka (0.259),"Martin Kavka: Martin Kavka (* 12. července 1977, Ostrava) je novinář, copywriter a copyeditor. V roce 2008 založil internetový slovník Čeština 2.0, který shromažďuje nové, neotřelé a zajímavé výrazy a novotvary. Společně s lexikografem Michalem Škrabalem je autorem knihy Hacknutá čeština: Neortodoxní slovník dnešní mateřštiny vydané v roce 2018. == Život a kari…",correct,high,
A007,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,sk,457,V ktorom slovenskom meste pôsobí umelec Rastislav Podoba?,In which Slovak city is the artist Rastislav Podoba based?,V Banskej Bystrici.,In Banská Bystrica.,Rastislav Podoba pôsobí v Banskej Bystrici.,CORRECT,"The model answer correctly identifies that Rastislav Podoba works in Banská Bystrica, which matches the information provided in the reference answer. The answer is concise and directly addresses the question without any contradictions or additional irrelevant details. It uses the correct name of the city and maintains the same factual content as the reference. Therefore, based on the scoring rubric criteria, the model answer is semantically correct and provides the required information without any errors or omissions.",Rastislav_Podoba,1:Rastislav Podoba (0.215) | 2:Rastislav Podoba (0.115) | 3:Rastislav Podoba (0.071) | 4:Rastislav Podoba (0.064) | 5:Rastislav Podoba (0.032),"Rastislav Podoba: Doc. Mgr. art. Rastislav Podoba, ArtD. (* 11. október 1975, Bánovce nad Bebravou) je slovenský maliar. == Životopis == Rastislav Podoba žije a tvorí v Banskej Bystrici. V rokoch 1990 – 1994 študoval na Škole úžitkového výtvarníctva Josefa Vydru v Bratislave a neskôr, v rokoch 1996 – 2002 študoval na Vysokej škole výtvarných umení v Bratislave v at… || Rastislav Podoba: a jedným z troch ocenených Ceny Nadácie NOVUM. == Samostatné výstavy == 2023 Rastislav Podoba - Čas nasýtený vodou, Pistoriho palác, Bratislava, Slovensko 2022 Rastislav Podoba - Malý obraz lesa, Tatranská galéria Poprad, Vila Flóra, Starý Smokovec, Slovensko 2021 Rastislav Podoba - Soil, Atelier Loft, Nová…",correct,high,
A008,embedding_qwen3_30b_top10,embedding_rag_qwen3_30b_a3b_e5_full_dev_retrieval_top10,cs,328,Které město na severu Čech bylo těžce postiženo americkými nálety na konci II. světové války a érou rozsáhlých demolic a přestaveb během komunistického režimu?,Which town in northern Bohemia was badly affected by the American air raids at the end of World War II and the era of extensive demolitions and rebuilding during the communist regime?,Ústí nad Labem,Usti nad Labem,Kralupy nad Vltavou,INCORRECT,"The model's answer of ""Kralupy nad Vltavou"" is incorrect because it refers to a different city than the one that was heavily damaged by American bombings during World War II and the period of extensive demolitions and renovations under communist rule. The reference answer correctly identifies ""Ústí nad Labem"" as the city that fits these historical events. The model's answer does not contain any of the required facts about the bombing, the era of demolitions, or the communist regime. It provides a completely different location without any connection to the historical context asked in the question. So the overall score is:",Seznam_památek_v_Ústí_nad_Labem,1:Praha (0.833) | 2:Uherské Hradiště (0.831) | 3:Oběti nacistického Německa v Československu (0.831) | 4:Dějiny Plzně (0.830) | 5:Karlovy Vary (0.827),"Praha: kubistická – jedině v Praze přešel kubismus z malířských pláten do architektury (Pavel Janák, Josef Gočár, Josef Chochol), ambiciózním plánem bylo založení kubistického sídliště na Vyšehradě. ### Druhá světová válka Od 15. března 1939 byla Praha hlavním městem Protektorátu Čechy a Morava. Kulturní život byl ochromen; po incidentu, jehož obětí byl… || Uherské Hradiště: kultury, a nevzhledná „Výšková budova policie“ na Velehradské třídě, která musela být po oproti svému plánu snížena rozdělením na dvě části. Celý návrh vypracovalo projekční oddělení vojenských staveb.[27] Rok 1984 poznamenala tragédie v národním podniku MESIT, kde zřícení části výrobní haly a třípatrové budovy uvěznilo…",incorrect,high,"Model gives Kralupy nad Vltavou, but reference is Ústí nad Labem; retrieved context misses the gold page."
A009,embedding_tiny_aya_water_top5,embedding_rag_tiny_aya_water_e5_full_dev_retrieval_top5,sk,22,Koľko fakúlt má Vysoká škola múzických umení v Bratislave?,How many faculties does the Academy of Performing Arts in Bratislava have?,tri,three,"Vysoká škola múzických umení v Bratislave má tri fakulty: Divadelnú fakultu, Hudobnú a tanečnú fakultu a Filmovú a televíznu fakultu.",CORRECT,"The model answer provides the correct number of faculties at the Academy of Music and Performing Arts in Bratislava, which is three. It goes beyond the basic requirement by listing the specific faculties, including the Theatre faculty, Music faculty, Dance faculty, and Film and Television faculty. This additional information, while informative, does not detract from the accuracy of the core answer regarding the total number of faculties. The answer adheres to the scoring rubric's allowance for paraphrasing and harmless extra details, as it doesn't contradict the reference or introduce any incorrect information. Therefore, despite the extra context provided, the answer remains semantically c…",Vysoká_škola_múzických_umení_v_Bratislave,1:Vysoká škola múzických umení v Bratislave (0.900) | 2:Divadelná fakulta Vysokej školy múzických umení v Bratislave (0.848) | 3:Vysoká škola výtvarných umení v Bratislave (0.846) | 4:Akademie múzických umění v Praze (0.845) | 5:Filmová a televízna fakulta Vysokej školy múzických umení v Bratislave (0.845),"Vysoká škola múzických umení v Bratislave: # Vysoká škola múzických umení v Bratislave Súradnice: 48°08′33″S 17°06′23″V﻿ / ﻿48,142534°S 17,106324°V Vysoká škola múzických umení v Bratislave (VŠMU) je vysoká škola, ktorá na svojich fakultách vychováva odborníkov v oblastiach divadla, bábkarstva, hudby, tanca, filmu a televíznej tvorby. Bola založená v roku 1949 v Bratislave a nadviazala na… || Divadelná fakulta Vysokej školy múzických umení v Bratislave: # Divadelná fakulta Vysokej školy múzických umení v Bratislave Divadelná fakulta Vysokej školy múzických umení (skr. DF VŠMU) je jednou z troch fakúlt VŠMU v Bratislave. Založená bola v roku 1949. V rokoch 1990 až 2004 niesla meno Činoherná…",correct,high,
A010,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,cs,294,Pomník kterého českého básníka je na Petříně?,The monument of which Czech poet is on Petřín?,Pomník Karla Hynka Máchy.,Monument to Karel Hynek Mácha.,Pomník Františka Němce je na Petříně.,INCORRECT,"The model's answer is incorrect because it provides information about a different poet, František Němec, instead of Karl Hynka Macha, who is the correct answer to the question. While the model includes the location ""Petříně,"" which is correct, the name of the poet is wrong. This omission of the correct poet's name makes the answer factually incorrect. Therefore, according to the scoring rubric, the model answer should be marked as INCORRECT due to providing a contradictory fact.",Petřínská_rozhledna,1:Petřínská rozhledna (0.186) | 2:Petřínská rozhledna (0.161) | 3:Petřínská rozhledna (0.154),"Petřínská rozhledna: Petřínské rozhledny skončilo v roce 1992 po zprovoznění Žižkovské televizní věže. Stále je v provozu FM rozhlasové vysílání (Evropa 2, ČRo Dvojka, RFI). Generální rekonstrukce rozhledny proběhla v letech 1999 až 2002 a přinesla také obnovení výtahu a zpřístupnění věže návštěvníkům na invalidním vozíku. Od roku 2020 je Petřínská rozhledna ve správě… || Petřínská rozhledna: uskutečněna první jízda. Trasa lanové dráhy dlouhá necelých čtyři sta metrů tehdy končila nad Nebozízkem. Jubilejní výstava v roce 1891 byla původně plánována jako všeobecná zemská výstava, avšak mnozí němečtí podnikatelé v Čechách se ji rozhodli bojkotovat. Stala se tedy přehlídkou rozvoje a vyspělost…",incorrect,high,"Model answer is incorrect: reference is Karel Hynek Mácha, but model answers František Němec. The current source page Petřínská rozhledna appears not to mention Karel Hynek Mácha or the monument, so this may be a source/evidence mismatch rather than a pure generation failure."
A011,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,cs,28,Kteří dva herci jsou v hlavních rolích ve filmu Štěstí?,Which two actors are in the lead roles in the movie Štěstí?,Tatiana Vilhelmová a Pavel Liška.,Tatiana Vilhelmová a Pavel Liška.,Hlavní role ve filmu Štěstí (1965) sehráli Jean-Claude Drouot a Anna Karina.,INCORRECT,"The model's answer provides incorrect names of the actors who played the main roles in the film ""Štěstí"". The reference answer correctly identifies Tatiana Vilhelmová and Pavel Liška as the main actors, while the model incorrectly states that Jean-Claude Drouot and Anna Karina were the main actors. Additionally, the model includes an unnecessary detail about the year of the film, which doesn't affect the correctness of the answer but is irrelevant to the question asked. So the overall score is:",Štěstí_(film),1:Štěstí (rozcestník) (0.158),"Štěstí (rozcestník): Štěstí může znamenat: Štěstí – vnitřní pocit radostného a více méně trvalého vyplnění Štěstí (film, 1965) – francouzský film režisérky Agnès Vardy z roku 1965 Štěstí (film, 1973) – československý televizní film režiséra Jiřího Bělky z roku 1973 Štěstí (film, 1999) – americký film režiséra Todda Solondze z roku 1998 Štěstí (film, 2003) – kanadský f…",incorrect,high,"Model answer is incorrect: reference is Tatiana Vilhelmová and Pavel Liška for the 2005 Czech film, but model answers actors from Štěstí (1965). The context is a disambiguation page with several films named Štěstí, and the question does not specify the year, so this is a source/disambiguation ambiguity rather than a simple generation failure. M-P is correct, but the model was made to fail even when this was oracel."
A012,embedding_tiny_aya_water_top5,embedding_rag_tiny_aya_water_e5_full_dev_retrieval_top5,cs,512,Jaké je sídlo Západočeského kraje?,What is the capital of the West Bohemian Region?,Plzeň.,Plzeň,Sídlem Západočeského kraje byla Plzeň.,CORRECT,"The model's answer includes the correct factual information that Plzeň is the seat of the Západočeský kraj (South Bohemian Region). It provides the same essential information as the reference answer but adds the word ""byla,"" which indicates a past tense, though this doesn't change the core fact being stated. The addition of ""byla"" is a harmless extra detail that doesn't affect the correctness of the answer. Therefore, the model's answer meets the criteria for being marked as correct according to the rubric, as it contains the required entity without omitting any facts or introducing contradictions.",Západočeský_kraj,1:Západočeský kraj (0.871) | 2:Východočeský kraj (0.840) | 3:Západočeský seniorát (0.837) | 4:Západoslovenský kraj (0.830) | 5:Severočeský kraj (0.830),"Západočeský kraj: # Západočeský kraj Západočeský kraj je jedním z bývalých krajů Československa. Byl vytvořen 11. dubna 1960 zákonem o územním členění státu. Sídlem kraje byla Plzeň. Název kraje byl odvozen od jeho zeměpisné polohy v západní části Čech. Západočeský kraj zanikl 1. ledna 2021 nabytím účinnosti nového zákona o územně správním členění státu. Západočesk… || Východočeský kraj: # Východočeský kraj Východočeský kraj je bývalá správní jednotka Československa. Po zrušení krajských národních výborů v roce 1990 zůstal pouze jednotkou územního členění. V roce 2000 na jeho území vznikl Královéhradecký kraj, Pardubický kraj, část Libereckého kraje a část kraje Vysočina. S koncem roku 2020…",correct,high,
A013,embedding_tiny_aya_water_top5,embedding_rag_tiny_aya_water_e5_full_dev_retrieval_top5,uk,362,За що був ув'язнений Сергій Корольов?,What was Sergei Korolev imprisoned for?,Сергій Корольов був ув'язнений за підозрою співучасті у контрреволюційній троцькістськії організації всередині РНДІ.,Sergei Korolev was imprisoned on suspicion of complicity in a counter-revolutionary Trotskyist organization within the RNDI.,Сергій Корольов був ув'язнений за державну зраду.,INCORRECT,"The model's answer is incorrect because it provides a different reason for Sergey Korolyov's imprisonment than what was stated in the reference. While the reference specifies that he was imprisoned for suspected participation in a counter-revolutionary Trotskyist organization within the NKVD, the model answer incorrectly states that he was imprisoned for treason. This is a significant deviation from the actual historical facts and therefore cannot be considered correct. So the overall score is:",Корольов_Сергій_Павлович,1:Царьов Олег Анатолійович (0.825) | 2:Лошкарьов Сергій Леонідович (0.823) | 3:Зора Корольов (0.821) | 4:Клюєв Сергій Борисович (0.818) | 5:Корольов Ігор Борисович (0.818),"Царьов Олег Анатолійович: і не повернула до МЗС паспортний документ у передбачений законодавством термін». 23 вересня 2015 року СБУ викликала на допит Царьова, повістку було опубліковано на сайті СБУ. Царьова викликали як підозрюваного, проте в повістці не зазначено як підозрюваний за якою статтею Кримінального кодексу України. 30 жовтня Шевченківський районний суд Києва в… || Лошкарьов Сергій Леонідович: # Лошкарьов Сергій Леонідович Лошкарьов Сергій Леонідович (рос. Лошкарёв Сергей Леонидович; нар. 5 грудня 1983, Новочеркаськ, Ростовська область) — козацький та екологічний активіст з міста Новочеркаська. Відомий також під псевдонімами Ажинов та Білогвардієць. ## Діяльність Був одним з най…",correct,medium,"Broadly answers the main question as state treason, which is compatible with the political accusation, but omits the specific reference detail about suspected involvement in a counter-revolutionary Trotskyist organization within RNDI. This is a specificity mismatch: our generation prompt asks for concise, straight-to-the-point answers, while this reference gives the main answer plus extra detail. M-Prometheus may be too strict if correctness means answering the main question, but reasonable if correctness means matching the full reference specificity. This shows how hard judging open-ended QA is when reference answers vary: some references are short and direct, while others include detailed explanations or extra context. A better prompt-design process would sample development references first and decide whether the model should answer with only the core fact or match the level of detail in the references. Even then, reference-author style may be inconsistent, so a single binary judge rubric can still penalize concise answers unfairly. Also, Although all generators received the same answer prompt, model families may interpret the instruction differently. "
A014,oracle_qwen3_30b,oracle_full_dev_qwen3_30b_a3b,uk,294,Хто є найбільшим оператором фіксованого зв'язку в Україні?,Who is the largest fixed-line operator in Ukraine?,Укртелеком,Ukrtelecom,Найбільшим оператором фіксованого зв'язку в Україні є «Укртелеком».,CORRECT,"The model answer correctly identifies ""Укртелеком"" as the largest fixed-line telecommunications operator in Ukraine, which aligns with the reference answer. The answer includes all necessary information without any contradictions or vagueness. It uses the proper name of the company and provides the correct context regarding its role in the Ukrainian telecommunications market. The addition of quotation marks around the company name is a minor stylistic choice that doesn't affect the semantic correctness of the answer. So the overall score is:",Укртелеком,1:Укртелеком (0.141) | 2:Укртелеком (0.092) | 3:Укртелеком (0.062) | 4:Укртелеком (0.060) | 5:Укртелеком (0.056),"Укртелеком: |стиль_картки= |footnotes= «Укртелеко́м» (ПФТС: UTLM, Українська біржа: UTLM) — українська телекомунікаційна компанія на ринку комплексних послуг, найбільший в країні оператор фіксованого зв'язку. Компанія надає практично всі види сучасних телекомунікаційних послуг — телефонний зв'язок; доступ до Інтернету; інтерактивне телебачення. == Діяльність… || Укртелеком: а по кількості переданих площ в оренді більше ніж 530 тис м2 вийшли на рівень, котрий перевищив обсяг до початку повномасштабного вторгнення. == Зарядні станції == Новим напрямком діяльності АТ «Укртелеком» стало відкриття станцій зарядки електромобілів у співпраці з мережею електричних зарядних станцій «IONITY». Проєкт…",correct,high,
A015,embedding_tiny_aya_water_top5,embedding_rag_tiny_aya_water_e5_full_dev_retrieval_top5,uk,313,Яка рослина є символом Київа?,What plant is the symbol of Kyiv?,Дерево каштану,Chestnut tree,"Символом Києва є Архангел Михаїл із вогняним мечем та щитом, на якому є хрест.",INCORRECT,"The model's answer is incorrect because it provides information about the symbol of Kyiv that is not related to a plant. While it mentions a symbol of Kyiv (the Archangel Michael), it fails to mention the actual plant that is the symbol of the city, which is the oak tree (каштан). The answer introduces an entirely unrelated element (the Archangel) and thus does not provide the correct factual information requested in the question. So the overall score is:",Київ,1:Герб Києва (0.842) | 2:Київ (0.840) | 3:Перелік символів Києва (0.839) | 4:Київська міська виставка квітів (0.839) | 5:Офіційний перелік регіонально рідкісних рослин Києва (0.838),"Герб Києва: # Герб Києва Герб Ки́єва — геральдичний символ столиці України міста Києва. Чинний герб міста був затвержений та встановлений на фасаді будинку мерії 1995 року. На гербі Києва зображений срібний Архангел Михаїл із вогняним мечем та щитом, на якому є хрест, на синьому давньоруському (варязькому) щиті. Меч символізує захист, золотий хрест — символ с… || Київ: час була неофіційним народним гімном. Під час святкування Дня Києва 30 травня 2015 року на Софійській площі близько 3 тисяч учасників разом із міським головою Віталієм Кличком взяли участь у встановленні всеукраїнського рекорду із наймасовішого виконання цієї пісні. Також Києву присвячена «Пісня про Київ» заслуженого артиста…",incorrect,high,"Incorrect. The retrieved set includes the gold page Київ at rank 2, but the top-ranked chunk is Герб Києва and discusses Archangel Michael as the heraldic symbol of Kyiv. The model appears to follow this salient distractor and answers a general city-symbol question instead of the plant-specific question. This is a retrieval/evidence-selection failure rather than a missing-page failure, and it shows why gold-page hit rate can overestimate true answer availability."
